MoleculeId,PredictedProbability
1,0.703121
2,0.975730
3,0.687316
4,0.974186
5,0.010471
6,0.565608
7,0.921968
8,0.952044
9,0.971152
10,0.648888
11,0.176546
12,0.822679
13,0.713313
14,0.409773
15,0.243168
16,0.220462
17,0.175555
18,0.086462
19,0.475539
20,0.836508
21,0.203315
22,0.952104
23,0.767724
24,0.947459
25,0.991340
26,0.880732
27,0.102694
28,0.033413
29,0.070217
30,0.558379
31,0.131738
32,0.025760
33,0.806959
34,0.330447
35,0.207449
36,0.892223
37,0.775514
38,0.499061
39,0.951911
40,0.996894
41,0.168787
42,0.035955
43,0.831516
44,0.906221
45,0.015048
46,0.512762
47,0.881585
48,0.407842
49,0.815661
50,0.779245
51,0.957717
52,0.063163
53,0.809340
54,0.015863
55,0.207468
56,0.860936
57,0.962969
58,0.989788
59,0.979628
60,0.659120
61,0.759654
62,0.962658
63,0.077782
64,0.011518
65,0.339776
66,0.399862
67,0.287622
68,0.076250
69,0.085908
70,0.197147
71,0.876538
72,0.849545
73,0.851827
74,0.945212
75,0.200377
76,0.076125
77,0.964470
78,0.355243
79,0.954731
80,0.069477
81,0.085168
82,0.235755
83,0.286153
84,0.319050
85,0.522501
86,0.574204
87,0.078699
88,0.704526
89,0.950845
90,0.415266
91,0.386382
92,0.758270
93,0.038097
94,0.056497
95,0.807617
96,0.217789
97,0.822961
98,0.983657
99,0.984427
100,0.848750
101,0.542277
102,0.920466
103,0.800114
104,0.436850
105,0.128906
106,0.113748
107,0.767315
108,0.351094
109,0.979043
110,0.030720
111,0.560826
112,0.954277
113,0.147532
114,0.931863
115,0.865903
116,0.140589
117,0.914293
118,0.053939
119,0.486737
120,0.164672
121,0.430070
122,0.086463
123,0.953015
124,0.139805
125,0.416870
126,0.326354
127,0.613855
128,0.900790
129,0.339477
130,0.078911
131,0.027988
132,0.325708
133,0.050395
134,0.884429
135,0.441686
136,0.960434
137,0.027410
138,0.881729
139,0.889860
140,0.651811
141,0.841907
142,0.994106
143,0.822697
144,0.094142
145,0.961270
146,0.071935
147,0.762453
148,0.926297
149,0.613637
150,0.247773
151,0.085194
152,0.842905
153,0.374814
154,0.959081
155,0.972040
156,0.659102
157,0.856424
158,0.955124
159,0.095418
160,0.021669
161,0.413123
162,0.113185
163,0.212351
164,0.981079
165,0.806906
166,0.402052
167,0.575947
168,0.902509
169,0.301664
170,0.972206
171,0.976572
172,0.965683
173,0.297121
174,0.726437
175,0.058314
176,0.909422
177,0.348991
178,0.134096
179,0.698243
180,0.075555
181,0.308509
182,0.868733
183,0.955150
184,0.088561
185,0.968221
186,0.514122
187,0.957620
188,0.290241
189,0.957142
190,0.821598
191,0.096372
192,0.539593
193,0.263962
194,0.936264
195,0.956222
196,0.386696
197,0.962931
198,0.829893
199,0.627697
200,0.489731
201,0.892414
202,0.371966
203,0.568929
204,0.154911
205,0.956287
206,0.619564
207,0.876314
208,0.982948
209,0.911981
210,0.302837
211,0.935771
212,0.947392
213,0.931237
214,0.031547
215,0.623015
216,0.897232
217,0.610543
218,0.502049
219,0.520335
220,0.230993
221,0.958510
222,0.277077
223,0.076433
224,0.937036
225,0.436429
226,0.371166
227,0.140411
228,0.965050
229,0.249851
230,0.883262
231,0.846581
232,0.943618
233,0.849372
234,0.288249
235,0.710778
236,0.914115
237,0.230055
238,0.209826
239,0.864306
240,0.753231
241,0.293024
242,0.013385
243,0.615930
244,0.799378
245,0.761317
246,0.938297
247,0.052909
248,0.146844
249,0.946743
250,0.051165
251,0.733943
252,0.536933
253,0.628396
254,0.829505
255,0.985370
256,0.630013
257,0.027333
258,0.092672
259,0.462592
260,0.030940
261,0.011962
262,0.067560
263,0.181596
264,0.264165
265,0.239655
266,0.732625
267,0.804305
268,0.067433
269,0.182086
270,0.846511
271,0.987296
272,0.939631
273,0.766957
274,0.471042
275,0.151777
276,0.205027
277,0.934605
278,0.253684
279,0.348558
280,0.205323
281,0.018130
282,0.946506
283,0.630948
284,0.017081
285,0.758853
286,0.988733
287,0.976571
288,0.642563
289,0.807636
290,0.091385
291,0.183625
292,0.443428
293,0.721612
294,0.740009
295,0.024581
296,0.330972
297,0.012771
298,0.615582
299,0.887263
300,0.764443
301,0.753265
302,0.059370
303,0.693194
304,0.946022
305,0.967728
306,0.913502
307,0.049170
308,0.909641
309,0.409098
310,0.957505
311,0.969571
312,0.790356
313,0.482892
314,0.098197
315,0.862134
316,0.330874
317,0.977165
318,0.121268
319,0.260426
320,0.030419
321,0.234598
322,0.797784
323,0.965776
324,0.428624
325,0.058286
326,0.902582
327,0.945474
328,0.985432
329,0.082369
330,0.552802
331,0.730264
332,0.797930
333,0.167340
334,0.468776
335,0.867810
336,0.807794
337,0.833708
338,0.071883
339,0.011639
340,0.871899
341,0.879597
342,0.759073
343,0.090702
344,0.452723
345,0.874544
346,0.972294
347,0.222966
348,0.190844
349,0.304438
350,0.873172
351,0.145143
352,0.879861
353,0.859799
354,0.054828
355,0.943301
356,0.603043
357,0.845789
358,0.250782
359,0.099046
360,0.876887
361,0.542467
362,0.923968
363,0.952578
364,0.327093
365,0.922195
366,0.952039
367,0.653494
368,0.277746
369,0.032920
370,0.184645
371,0.636329
372,0.413321
373,0.839080
374,0.071180
375,0.690392
376,0.991222
377,0.723096
378,0.691630
379,0.914114
380,0.005189
381,0.932285
382,0.982605
383,0.977583
384,0.552800
385,0.959598
386,0.785211
387,0.057782
388,0.160701
389,0.034453
390,0.903470
391,0.796193
392,0.241322
393,0.796848
394,0.803345
395,0.981997
396,0.416220
397,0.665112
398,0.185932
399,0.647996
400,0.830180
401,0.955501
402,0.442411
403,0.052898
404,0.899301
405,0.828049
406,0.069953
407,0.951390
408,0.597242
409,0.119385
410,0.304157
411,0.944549
412,0.908711
413,0.938579
414,0.109604
415,0.792687
416,0.981521
417,0.195151
418,0.924091
419,0.580942
420,0.450473
421,0.025940
422,0.638899
423,0.684603
424,0.854877
425,0.982566
426,0.137530
427,0.810709
428,0.921709
429,0.897240
430,0.053596
431,0.733246
432,0.626615
433,0.455707
434,0.125966
435,0.356010
436,0.052107
437,0.090948
438,0.432739
439,0.009645
440,0.267684
441,0.766084
442,0.903274
443,0.972297
444,0.053829
445,0.888791
446,0.930259
447,0.142622
448,0.114228
449,0.080922
450,0.955656
451,0.381857
452,0.931460
453,0.206662
454,0.967665
455,0.372554
456,0.924989
457,0.089628
458,0.764462
459,0.146302
460,0.549435
461,0.532992
462,0.911999
463,0.830514
464,0.926297
465,0.632571
466,0.310947
467,0.200251
468,0.491117
469,0.706019
470,0.225875
471,0.036659
472,0.828425
473,0.097159
474,0.505467
475,0.322051
476,0.122792
477,0.805317
478,0.050342
479,0.205681
480,0.154739
481,0.206846
482,0.296181
483,0.775544
484,0.972847
485,0.424988
486,0.827710
487,0.175163
488,0.657391
489,0.679484
490,0.918730
491,0.154996
492,0.859884
493,0.914702
494,0.974798
495,0.594240
496,0.803153
497,0.039101
498,0.302855
499,0.521564
500,0.025174
501,0.978845
502,0.765295
503,0.805319
504,0.078760
505,0.957566
506,0.674248
507,0.339706
508,0.247302
509,0.287041
510,0.209324
511,0.947461
512,0.881687
513,0.552782
514,0.899159
515,0.962265
516,0.010938
517,0.320205
518,0.022846
519,0.410384
520,0.919194
521,0.890814
522,0.971896
523,0.918239
524,0.069271
525,0.897167
526,0.131306
527,0.947335
528,0.652881
529,0.042353
530,0.086058
531,0.878895
532,0.108162
533,0.937505
534,0.035569
535,0.356437
536,0.036553
537,0.984392
538,0.135243
539,0.946960
540,0.230163
541,0.019654
542,0.118151
543,0.705355
544,0.751100
545,0.732588
546,0.602837
547,0.910053
548,0.097111
549,0.966236
550,0.969946
551,0.838450
552,0.124754
553,0.220684
554,0.178883
555,0.007767
556,0.969722
557,0.509476
558,0.644087
559,0.707574
560,0.926682
561,0.964315
562,0.981384
563,0.610248
564,0.325453
565,0.246453
566,0.258847
567,0.275950
568,0.916862
569,0.859988
570,0.195595
571,0.609570
572,0.947505
573,0.108227
574,0.989446
575,0.082038
576,0.790200
577,0.939087
578,0.393516
579,0.765801
580,0.090515
581,0.803700
582,0.982305
583,0.069741
584,0.945466
585,0.846201
586,0.679928
587,0.947505
588,0.121845
589,0.148895
590,0.991033
591,0.929990
592,0.039106
593,0.943138
594,0.957538
595,0.888417
596,0.014930
597,0.299480
598,0.827245
599,0.971391
600,0.331029
601,0.179509
602,0.530087
603,0.958224
604,0.413450
605,0.698585
606,0.118094
607,0.799309
608,0.202568
609,0.035635
610,0.445724
611,0.556300
612,0.980660
613,0.084098
614,0.705762
615,0.982454
616,0.723484
617,0.490525
618,0.842652
619,0.007364
620,0.489489
621,0.846630
622,0.956830
623,0.337520
624,0.150903
625,0.110839
626,0.962877
627,0.075052
628,0.570617
629,0.405246
630,0.049362
631,0.134474
632,0.201768
